"Statistic","Year","Local Government District","Broad Industry Group","Employee Size Band","0 to 99","100 to 499","500 to 999","1000 to 4999","5000+","All"
"Number of Businesses",2023,"Mid Ulster","Retail","0",30,30,NA,NA,NA,65
"Number of Businesses",2023,"Mid Ulster","Retail","1 to 9",75,215,65,50,NA,410
"Number of Businesses",2023,"Mid Ulster","Retail","10 to 49",NA,NA,10,70,NA,80
"Number of Businesses",2023,"Mid Ulster","Retail","50 to 249",NA,NA,NA,NA,10,15
"Number of Businesses",2023,"Mid Ulster","Retail","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Retail","All",105,245,80,120,20,570
"Number of Businesses",2023,"Mid Ulster","Transport & Storage (inc Postal)","0",60,35,NA,NA,NA,95
"Number of Businesses",2023,"Mid Ulster","Transport & Storage (inc Postal)","1 to 9",60,110,25,20,NA,215
"Number of Businesses",2023,"Mid Ulster","Transport & Storage (inc Postal)","10 to 49",NA,5,NA,15,NA,25
"Number of Businesses",2023,"Mid Ulster","Transport & Storage (inc Postal)","50 to 249",NA,NA,NA,NA,5,5
"Number of Businesses",2023,"Mid Ulster","Transport & Storage (inc Postal)","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Transport & Storage (inc Postal)","All",120,145,30,35,10,340
"Number of Businesses",2023,"Mid Ulster","Accommodation & Food Services","0",10,10,NA,NA,NA,20
"Number of Businesses",2023,"Mid Ulster","Accommodation & Food Services","1 to 9",90,135,5,NA,NA,235
"Number of Businesses",2023,"Mid Ulster","Accommodation & Food Services","10 to 49",NA,35,20,10,NA,65
"Number of Businesses",2023,"Mid Ulster","Accommodation & Food Services","50 to 249",NA,NA,NA,5,NA,5
"Number of Businesses",2023,"Mid Ulster","Accommodation & Food Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Accommodation & Food Services","All",105,180,25,20,NA,330
"Number of Businesses",2023,"Mid Ulster","Information & Communication","0",5,NA,NA,NA,NA,5
"Number of Businesses",2023,"Mid Ulster","Information & Communication","1 to 9",30,45,NA,NA,NA,80
"Number of Businesses",2023,"Mid Ulster","Information & Communication","10 to 49",NA,NA,NA,NA,NA,5
"Number of Businesses",2023,"Mid Ulster","Information & Communication","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Information & Communication","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Information & Communication","All",35,45,5,5,NA,90
"Number of Businesses",2023,"Mid Ulster","Finance & Insurance","0",30,NA,NA,NA,NA,35
"Number of Businesses",2023,"Mid Ulster","Finance & Insurance","1 to 9",15,35,15,5,NA,65
"Number of Businesses",2023,"Mid Ulster","Finance & Insurance","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Finance & Insurance","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Finance & Insurance","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Finance & Insurance","All",45,40,15,10,NA,105
"Number of Businesses",2023,"Mid Ulster","Property","0",45,10,NA,NA,NA,55
"Number of Businesses",2023,"Mid Ulster","Property","1 to 9",70,60,10,10,NA,155
"Number of Businesses",2023,"Mid Ulster","Property","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Property","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Property","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Property","All",120,70,10,10,NA,215
"Number of Businesses",2023,"Mid Ulster","Professional, Scientific & Technical","0",40,25,NA,NA,NA,65
"Number of Businesses",2023,"Mid Ulster","Professional, Scientific & Technical","1 to 9",145,225,20,5,NA,400
"Number of Businesses",2023,"Mid Ulster","Professional, Scientific & Technical","10 to 49",NA,5,15,15,NA,35
"Number of Businesses",2023,"Mid Ulster","Professional, Scientific & Technical","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Professional, Scientific & Technical","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Professional, Scientific & Technical","All",185,255,35,20,5,505
"Number of Businesses",2023,"Mid Ulster","Business Administration and Support Services","0",35,10,NA,NA,NA,45
"Number of Businesses",2023,"Mid Ulster","Business Administration and Support Services","1 to 9",55,90,35,15,NA,200
"Number of Businesses",2023,"Mid Ulster","Business Administration and Support Services","10 to 49",NA,5,NA,5,NA,15
"Number of Businesses",2023,"Mid Ulster","Business Administration and Support Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Business Administration and Support Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Business Administration and Support Services","All",90,105,40,20,5,260
"Number of Businesses",2023,"Mid Ulster","Public Administration and Defence","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Public Administration and Defence","1 to 9",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Public Administration and Defence","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Public Administration and Defence","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Public Administration and Defence","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Public Administration and Defence","All",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Education","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Education","1 to 9",5,25,NA,NA,NA,35
"Number of Businesses",2023,"Mid Ulster","Education","10 to 49",NA,NA,NA,NA,NA,5
"Number of Businesses",2023,"Mid Ulster","Education","50 to 249",NA,NA,NA,5,NA,10
"Number of Businesses",2023,"Mid Ulster","Education","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Education","All",5,30,5,10,NA,50
"Number of Businesses",2023,"Mid Ulster","Health","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Health","1 to 9",35,105,5,NA,NA,145
"Number of Businesses",2023,"Mid Ulster","Health","10 to 49",NA,NA,15,30,NA,45
"Number of Businesses",2023,"Mid Ulster","Health","50 to 249",NA,NA,NA,10,NA,15
"Number of Businesses",2023,"Mid Ulster","Health","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Health","All",35,105,20,40,5,210
"Number of Businesses",2023,"Mid Ulster","Arts, Entertainment, Recreation and Other Services","0",25,5,NA,NA,NA,30
"Number of Businesses",2023,"Mid Ulster","Arts, Entertainment, Recreation and Other Services","1 to 9",185,90,5,NA,NA,285
"Number of Businesses",2023,"Mid Ulster","Arts, Entertainment, Recreation and Other Services","10 to 49",NA,5,5,5,NA,20
"Number of Businesses",2023,"Mid Ulster","Arts, Entertainment, Recreation and Other Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Arts, Entertainment, Recreation and Other Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Arts, Entertainment, Recreation and Other Services","All",210,105,15,10,NA,335
"Number of Businesses",2023,"Mid Ulster","All Industries","0",2895,730,35,15,NA,3675
"Number of Businesses",2023,"Mid Ulster","All Industries","1 to 9",1475,2545,585,440,50,5095
"Number of Businesses",2023,"Mid Ulster","All Industries","10 to 49",15,65,100,340,95,620
"Number of Businesses",2023,"Mid Ulster","All Industries","50 to 249",NA,NA,NA,30,95,125
"Number of Businesses",2023,"Mid Ulster","All Industries","250+",NA,NA,NA,NA,25,25
"Number of Businesses",2023,"Mid Ulster","All Industries","All",4385,3340,720,825,270,9540
"Number of Businesses",2023,"Newry, Mourne and Down","Agriculture, Forestry & Fishing","0",1635,285,NA,NA,NA,1925
"Number of Businesses",2023,"Newry, Mourne and Down","Agriculture, Forestry & Fishing","1 to 9",90,235,80,25,NA,435
"Number of Businesses",2023,"Newry, Mourne and Down","Agriculture, Forestry & Fishing","10 to 49",NA,NA,5,10,NA,20
"Number of Businesses",2023,"Newry, Mourne and Down","Agriculture, Forestry & Fishing","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Agriculture, Forestry & Fishing","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Agriculture, Forestry & Fishing","All",1725,525,90,40,NA,2380
"Number of Businesses",2023,"Newry, Mourne and Down","Production","0",40,20,NA,NA,NA,60
"Number of Businesses",2023,"Newry, Mourne and Down","Production","1 to 9",170,195,40,30,NA,435
"Number of Businesses",2023,"Newry, Mourne and Down","Production","10 to 49",NA,NA,15,60,20,100
"Number of Businesses",2023,"Newry, Mourne and Down","Production","50 to 249",NA,NA,NA,NA,15,20
"Number of Businesses",2023,"Newry, Mourne and Down","Production","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Production","All",210,215,55,95,45,620
"Number of Businesses",2023,"Newry, Mourne and Down","Construction","0",290,125,5,NA,NA,420
"Number of Businesses",2023,"Newry, Mourne and Down","Construction","1 to 9",460,600,105,75,5,1245
"Number of Businesses",2023,"Newry, Mourne and Down","Construction","10 to 49",NA,5,10,35,20,70
"Number of Businesses",2023,"Newry, Mourne and Down","Construction","50 to 249",NA,NA,NA,NA,5,5
"Number of Businesses",2023,"Newry, Mourne and Down","Construction","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Construction","All",755,730,120,110,30,1745
"Number of Businesses",2023,"Newry, Mourne and Down","Motor Trades","0",25,20,NA,5,NA,50
"Number of Businesses",2023,"Newry, Mourne and Down","Motor Trades","1 to 9",55,140,30,40,5,270
"Number of Businesses",2023,"Newry, Mourne and Down","Motor Trades","10 to 49",NA,NA,NA,5,5,15
"Number of Businesses",2023,"Newry, Mourne and Down","Motor Trades","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Motor Trades","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Motor Trades","All",80,160,30,50,15,335
"Number of Businesses",2023,"Newry, Mourne and Down","Wholesale","0",15,20,NA,NA,NA,40
"Number of Businesses",2023,"Newry, Mourne and Down","Wholesale","1 to 9",65,125,55,75,10,320
"Number of Businesses",2023,"Newry, Mourne and Down","Wholesale","10 to 49",NA,NA,NA,15,15,35
"Number of Businesses",2023,"Newry, Mourne and Down","Wholesale","50 to 249",NA,NA,NA,NA,5,5
"Number of Businesses",2023,"Newry, Mourne and Down","Wholesale","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Wholesale","All",80,145,60,90,30,405
"Number of Businesses",2023,"Newry, Mourne and Down","Retail","0",20,35,NA,NA,NA,60
"Number of Businesses",2023,"Newry, Mourne and Down","Retail","1 to 9",110,270,80,45,NA,510
"Number of Businesses",2023,"Newry, Mourne and Down","Retail","10 to 49",NA,5,20,60,15,105
"Number of Businesses",2023,"Newry, Mourne and Down","Retail","50 to 249",NA,NA,NA,5,15,25
"Number of Businesses",2023,"Newry, Mourne and Down","Retail","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Retail","All",130,310,105,115,35,700
"Number of Businesses",2023,"Newry, Mourne and Down","Transport & Storage (inc Postal)","0",50,25,NA,NA,NA,80
"Number of Businesses",2023,"Newry, Mourne and Down","Transport & Storage (inc Postal)","1 to 9",100,135,20,25,NA,280
"Number of Businesses",2023,"Newry, Mourne and Down","Transport & Storage (inc Postal)","10 to 49",NA,5,NA,15,NA,30
"Number of Businesses",2023,"Newry, Mourne and Down","Transport & Storage (inc Postal)","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Transport & Storage (inc Postal)","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Transport & Storage (inc Postal)","All",160,165,25,40,10,400
"Number of Businesses",2023,"Newry, Mourne and Down","Accommodation & Food Services","0",10,5,NA,NA,NA,20
"Number of Businesses",2023,"Newry, Mourne and Down","Accommodation & Food Services","1 to 9",150,195,15,NA,NA,365
"Number of Businesses",2023,"Newry, Mourne and Down","Accommodation & Food Services","10 to 49",5,45,25,15,NA,95
"Number of Businesses",2023,"Newry, Mourne and Down","Accommodation & Food Services","50 to 249",NA,NA,NA,10,NA,15
"Number of Businesses",2023,"Newry, Mourne and Down","Accommodation & Food Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Accommodation & Food Services","All",165,250,40,30,NA,495
"Number of Businesses",2023,"Newry, Mourne and Down","Information & Communication","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Information & Communication","1 to 9",60,85,NA,NA,NA,150
"Number of Businesses",2023,"Newry, Mourne and Down","Information & Communication","10 to 49",NA,NA,NA,NA,NA,5
"Number of Businesses",2023,"Newry, Mourne and Down","Information & Communication","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Information & Communication","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Information & Communication","All",65,90,NA,5,NA,165
"Number of Businesses",2023,"Newry, Mourne and Down","Finance & Insurance","0",30,NA,NA,NA,NA,30
"Number of Businesses",2023,"Newry, Mourne and Down","Finance & Insurance","1 to 9",10,30,15,5,NA,60
"Number of Businesses",2023,"Newry, Mourne and Down","Finance & Insurance","10 to 49",NA,NA,NA,10,NA,10
"Number of Businesses",2023,"Newry, Mourne and Down","Finance & Insurance","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Finance & Insurance","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Finance & Insurance","All",35,35,15,15,NA,100
"Number of Businesses",2023,"Newry, Mourne and Down","Property","0",50,NA,NA,NA,NA,55
"Number of Businesses",2023,"Newry, Mourne and Down","Property","1 to 9",70,70,NA,NA,NA,140
"Number of Businesses",2023,"Newry, Mourne and Down","Property","10 to 49",NA,NA,NA,NA,NA,5
"Number of Businesses",2023,"Newry, Mourne and Down","Property","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Property","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Property","All",120,75,5,5,NA,205
"Number of Businesses",2023,"Newry, Mourne and Down","Professional, Scientific & Technical","0",20,15,NA,NA,NA,35
"Number of Businesses",2023,"Newry, Mourne and Down","Professional, Scientific & Technical","1 to 9",185,290,35,15,NA,525
"Number of Businesses",2023,"Newry, Mourne and Down","Professional, Scientific & Technical","10 to 49",NA,5,10,25,NA,45
"Number of Businesses",2023,"Newry, Mourne and Down","Professional, Scientific & Technical","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Professional, Scientific & Technical","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Professional, Scientific & Technical","All",205,315,50,35,5,610
"Number of Businesses",2023,"Newry, Mourne and Down","Business Administration and Support Services","0",35,10,NA,NA,NA,45
"Number of Businesses",2023,"Newry, Mourne and Down","Business Administration and Support Services","1 to 9",155,145,35,10,NA,345
"Number of Businesses",2023,"Newry, Mourne and Down","Business Administration and Support Services","10 to 49",NA,NA,5,10,NA,20
"Number of Businesses",2023,"Newry, Mourne and Down","Business Administration and Support Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Business Administration and Support Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Business Administration and Support Services","All",190,160,45,25,5,420
"Number of Businesses",2023,"Newry, Mourne and Down","Public Administration and Defence","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Public Administration and Defence","1 to 9",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Public Administration and Defence","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Public Administration and Defence","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Public Administration and Defence","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Public Administration and Defence","All",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Education","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Education","1 to 9",25,30,NA,NA,NA,50
"Number of Businesses",2023,"Newry, Mourne and Down","Education","10 to 49",NA,NA,NA,NA,NA,10
"Number of Businesses",2023,"Newry, Mourne and Down","Education","50 to 249",NA,NA,NA,10,NA,10
"Number of Businesses",2023,"Newry, Mourne and Down","Education","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Education","All",25,30,NA,10,NA,70
"Number of Businesses",2023,"Newry, Mourne and Down","Health","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Health","1 to 9",45,120,15,NA,NA,175
"Number of Businesses",2023,"Newry, Mourne and Down","Health","10 to 49",NA,5,35,30,NA,75
"Number of Businesses",2023,"Newry, Mourne and Down","Health","50 to 249",NA,NA,NA,10,NA,15
"Number of Businesses",2023,"Newry, Mourne and Down","Health","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Health","All",45,130,50,40,NA,270
"Number of Businesses",2023,"Newry, Mourne and Down","Arts, Entertainment, Recreation and Other Services","0",30,5,NA,NA,NA,35
"Number of Businesses",2023,"Newry, Mourne and Down","Arts, Entertainment, Recreation and Other Services","1 to 9",250,125,5,NA,NA,385
"Number of Businesses",2023,"Newry, Mourne and Down","Arts, Entertainment, Recreation and Other Services","10 to 49",NA,15,10,5,NA,35
"Number of Businesses",2023,"Newry, Mourne and Down","Arts, Entertainment, Recreation and Other Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Newry, Mourne and Down","Arts, Entertainment, Recreation and Other Services","250+",NA,NA,NA,NA,NA,NA
