"Statistic","Quarter","NI Major Port","Direction of flow","Other General Cargo","Dry Bulk","Liquid Bulk","Lo-Lo","Ro-Ro Freight","Ro-Ro Non-Freight","All"
"Total Units","2021Q2","Londonderry","Inwards",0,0,0,0,0,0,0
"Total Units","2021Q2","Londonderry","Outwards",0,0,0,0,0,0,0
"Total Units","2021Q2","Warrenpoint","Inwards",0,0,0,3.989324492,13.21640608,0,17.20573058
"Total Units","2021Q2","Warrenpoint","Outwards",0,0,0,5.458666901,18.11281695,0,23.57148385
"Total Units","2021Q3","Belfast","Inwards",0,0,0,16.97755436,79.90400368,96.27558695,193.157145
"Total Units","2021Q3","Belfast","Outwards",0,0,0,16.31084053,79.933,83.295,179.5388405
"Total Units","2021Q3","Kilroot Power Station Jetty","Inwards",0,0,0,0,0,0,0
"Total Units","2021Q3","Kilroot Power Station Jetty","Outwards",0,0,0,0,0,0,0
"Total Units","2021Q3","Larne","Inwards",0,0,0,0,29.58333274,30.53304453,60.11637727
"Total Units","2021Q3","Larne","Outwards",0,0,0,0,28.99999518,27.90145029,56.90144548
"Total Units","2021Q3","Londonderry","Inwards",0,0,0,0,0,0,0
"Total Units","2021Q3","Londonderry","Outwards",0,0,0,0,0,0,0
"Total Units","2021Q3","Warrenpoint","Inwards",0,0,0,0,11.39597504,0,11.39597504
"Total Units","2021Q3","Warrenpoint","Outwards",0,0,0,0,9.757972827,0,9.757972827
"Total Units","2021Q4","Belfast","Inwards",0,0,0,16.72360377,79.85183997,63.47797832,160.0534221
"Total Units","2021Q4","Belfast","Outwards",0,0,0,16.3543077,79.798,49.303,145.4553077
"Total Units","2021Q4","Kilroot Power Station Jetty","Inwards",0,0,0,0,0,0,0
"Total Units","2021Q4","Kilroot Power Station Jetty","Outwards",0,0,0,0,0,0,0
"Total Units","2021Q4","Larne","Inwards",0,0,0,0,19.77384507,10.67497909,30.44882417
"Total Units","2021Q4","Larne","Outwards",0,0,0,0,18.56367619,9.979015185,28.54269137
"Total Units","2021Q4","Londonderry","Inwards",0,0,0,0,0,0,0
"Total Units","2021Q4","Londonderry","Outwards",0,0,0,0,0,0,0
