"Statistic","Academic year","Local Government District","Attainment","Free school meal entitled","Not free school meal entitled","All persons"
"Number of school leavers","2020/21","Belfast","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",589,1517,2106
"Number of school leavers","2020/21","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",1157,1939,3096
"Number of school leavers","2020/21","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",737,1697,2434
"Number of school leavers","2020/21","Belfast","Total leavers",1342,2048,3390
"Number of school leavers","2020/21","Causeway Coast and Glens","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",112,651,763
"Number of school leavers","2020/21","Causeway Coast and Glens","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",128,710,838
"Number of school leavers","2020/21","Causeway Coast and Glens","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",135,735,870
"Number of school leavers","2020/21","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",337,1084,1421
"Number of school leavers","2020/21","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",236,963,1199
"Number of school leavers","2020/21","Causeway Coast and Glens","Total leavers",402,1148,1550
"Number of school leavers","2020/21","Derry City and Strabane","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",211,783,994
"Number of school leavers","2020/21","Derry City and Strabane","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",254,866,1120
"Number of school leavers","2020/21","Derry City and Strabane","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",272,881,1153
"Number of school leavers","2020/21","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",566,1201,1767
"Number of school leavers","2020/21","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",421,1096,1517
"Number of school leavers","2020/21","Derry City and Strabane","Total leavers",644,1255,1899
"Number of school leavers","2020/21","Fermanagh and Omagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",150,771,921
"Number of school leavers","2020/21","Fermanagh and Omagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",168,830,998
"Number of school leavers","2020/21","Fermanagh and Omagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",174,852,1026
"Number of school leavers","2020/21","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",278,1154,1432
"Number of school leavers","2020/21","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",237,1047,1284
"Number of school leavers","2020/21","Fermanagh and Omagh","Total leavers",301,1194,1495
"Number of school leavers","2020/21","Lisburn and Castlereagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",86,836,922
"Number of school leavers","2020/21","Lisburn and Castlereagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",99,905,1004
"Number of school leavers","2020/21","Lisburn and Castlereagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",103,928,1031
"Number of school leavers","2020/21","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",226,1241,1467
"Number of school leavers","2020/21","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",153,1128,1281
"Number of school leavers","2020/21","Lisburn and Castlereagh","Total leavers",263,1300,1563
"Number of school leavers","2020/21","Mid and East Antrim","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",100,705,805
"Number of school leavers","2020/21","Mid and East Antrim","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",118,763,881
"Number of school leavers","2020/21","Mid and East Antrim","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",130,788,918
"Number of school leavers","2020/21","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",279,1109,1388
"Number of school leavers","2020/21","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",189,955,1144
"Number of school leavers","2020/21","Mid and East Antrim","Total leavers",350,1180,1530
"Number of school leavers","2020/21","Mid Ulster","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",142,824,966
"Number of school leavers","2020/21","Mid Ulster","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",159,882,1041
"Number of school leavers","2020/21","Mid Ulster","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",164,899,1063
"Number of school leavers","2020/21","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",351,1329,1680
"Number of school leavers","2020/21","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",271,1163,1434
"Number of school leavers","2020/21","Mid Ulster","Total leavers",423,1403,1826
"Number of school leavers","2020/21","Newry, Mourne and Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",209,1018,1227
"Number of school leavers","2020/21","Newry, Mourne and Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",221,1078,1299
"Number of school leavers","2020/21","Newry, Mourne and Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",246,1148,1394
"Number of school leavers","2020/21","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",453,1623,2076
"Number of school leavers","2020/21","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",354,1456,1810
"Number of school leavers","2020/21","Newry, Mourne and Down","Total leavers",539,1741,2280
"Number of school leavers","2020/21","Ards and North Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",110,817,927
"Number of school leavers","2020/21","Ards and North Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",125,899,1024
"Number of school leavers","2020/21","Ards and North Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",136,937,1073
"Number of school leavers","2020/21","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",280,1277,1557
"Number of school leavers","2020/21","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",201,1146,1347
"Number of school leavers","2020/21","Ards and North Down","Total leavers",338,1349,1687
"Number of school leavers","2020/21","Northern Ireland","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",1827,9600,11427
"Number of school leavers","2020/21","Northern Ireland","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",2087,10448,12535
"Number of school leavers","2020/21","Northern Ireland","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",2264,10804,13068
"Number of school leavers","2020/21","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",4701,15210,19911
"Number of school leavers","2020/21","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",3316,13465,16781
"Number of school leavers","2020/21","Northern Ireland","Total leavers",5541,16069,21610
"Number of school leavers","2021/22","Antrim and Newtownabbey","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",105,716,821
"Number of school leavers","2021/22","Antrim and Newtownabbey","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",139,859,998
"Number of school leavers","2021/22","Antrim and Newtownabbey","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",153,894,1047
"Number of school leavers","2021/22","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",338,1307,1645
"Number of school leavers","2021/22","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",220,1153,1373
"Number of school leavers","2021/22","Antrim and Newtownabbey","Total leavers",380,1355,1735
"Number of school leavers","2021/22","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",109,952,1061
"Number of school leavers","2021/22","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",149,1149,1298
"Number of school leavers","2021/22","Armagh City, Banbridge and Craigavon","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",162,1189,1351
"Number of school leavers","2021/22","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",499,1994,2493
"Number of school leavers","2021/22","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",359,1740,2099
"Number of school leavers","2021/22","Armagh City, Banbridge and Craigavon","Total leavers",615,2146,2761
"Number of school leavers","2021/22","Belfast","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",402,1270,1672
"Number of school leavers","2021/22","Belfast","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",537,1482,2019
"Number of school leavers","2021/22","Belfast","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",593,1554,2147
"Number of school leavers","2021/22","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",1185,2127,3312
"Number of school leavers","2021/22","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",794,1828,2622
"Number of school leavers","2021/22","Belfast","Total leavers",1440,2251,3691
"Number of school leavers","2021/22","Causeway Coast and Glens","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",84,674,758
"Number of school leavers","2021/22","Causeway Coast and Glens","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",97,768,865
"Number of school leavers","2021/22","Causeway Coast and Glens","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",100,794,894
"Number of school leavers","2021/22","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",293,1233,1526
"Number of school leavers","2021/22","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",205,1069,1274
"Number of school leavers","2021/22","Causeway Coast and Glens","Total leavers",354,1285,1639
"Number of school leavers","2021/22","Derry City and Strabane","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",158,617,775
"Number of school leavers","2021/22","Derry City and Strabane","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",211,784,995
"Number of school leavers","2021/22","Derry City and Strabane","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",243,823,1066
"Number of school leavers","2021/22","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",567,1190,1757
"Number of school leavers","2021/22","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",379,1070,1449
"Number of school leavers","2021/22","Derry City and Strabane","Total leavers",664,1255,1919
"Number of school leavers","2021/22","Fermanagh and Omagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",77,550,627
"Number of school leavers","2021/22","Fermanagh and Omagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",95,647,742
