"Statistic","Academic year","Local Government District","Attainment","Free school meal entitled","Not free school meal entitled","All persons"
"Number of school leavers","2014/15","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",2193,12560,14753
"Number of school leavers","2014/15","Northern Ireland","Total leavers",5310,17051,22361
"Number of school leavers","2015/16","Antrim and Newtownabbey","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",51,589,640
"Number of school leavers","2015/16","Antrim and Newtownabbey","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",73,783,856
"Number of school leavers","2015/16","Antrim and Newtownabbey","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",85,843,928
"Number of school leavers","2015/16","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",165,1178,1343
"Number of school leavers","2015/16","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",104,1017,1121
"Number of school leavers","2015/16","Antrim and Newtownabbey","Total leavers",304,1388,1692
"Number of school leavers","2015/16","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",90,753,843
"Number of school leavers","2015/16","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",149,1029,1178
"Number of school leavers","2015/16","Armagh City, Banbridge and Craigavon","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",177,1104,1281
"Number of school leavers","2015/16","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",371,1668,2039
